date,match_number,teams,group,stadium,date_dt
"Thursday, 11 June 2026",Match 1,Mexico v South Africa,Group A,Estadio Azteca Mexico City,2026-06-11
"Thursday, 11 June 2026",Match 2,South Korea v Czech Republic,Group A,Estadio Akron Zapopan,2026-06-11
"Friday, 12 June 2026",Match 3,Canada v Bosnia and Herzegovina,Group B,BMO Field Toronto,2026-06-12
"Friday, 12 June 2026",Match 4,USA v Paraguay,Group D,SoFi Stadium Inglewood,2026-06-12
"Saturday, 13 June 2026",Match 5,Haiti v Scotland,Group C,Gillette Stadium Foxborough,2026-06-13
"Saturday, 13 June 2026",Match 6,Australia v Turkey,Group D,BC Place Vancouver,2026-06-13
"Saturday, 13 June 2026",Match 7,Brazil v Morocco,Group C,MetLife Stadium East Rutherford,2026-06-13
"Saturday, 13 June 2026",Match 8,Qatar v Switzerland,Group B,Levis Stadium Santa Clara,2026-06-13
"Sunday, 14 June 2026",Match 9,Ivory Coast v Ecuador,Group E,Lincoln Financial Field Philadelphia,2026-06-14
"Sunday, 14 June 2026",Match 10,Germany v Curacao,Group E,NRG Stadium Houston,2026-06-14
"Sunday, 14 June 2026",Match 11,Netherlands v Japan,Group F,ATT Stadium Arlington,2026-06-14
"Sunday, 14 June 2026",Match 12,Sweden v Tunisia,Group F,Estadio BBVA Guadalupe,2026-06-14
"Monday, 15 June 2026",Match 13,Saudi Arabia v Uruguay,Group H,Hard Rock Stadium Miami Gardens,2026-06-15
"Monday, 15 June 2026",Match 14,Spain v Cape Verde,Group H,Mercedes-Benz Stadium Atlanta,2026-06-15
"Monday, 15 June 2026",Match 15,Iran v New Zealand,Group G,SoFi Stadium Inglewood,2026-06-15
"Monday, 15 June 2026",Match 16,Belgium v Egypt,Group G,Lumen Field Seattle,2026-06-15
"Tuesday, 16 June 2026",Match 17,France v Senegal,Group I,MetLife Stadium East Rutherford,2026-06-16
"Tuesday, 16 June 2026",Match 18,Iraq v Norway,Group I,Gillette Stadium Foxborough,2026-06-16
"Tuesday, 16 June 2026",Match 19,Argentina v Algeria,Group J,Arrowhead Stadium Kansas City,2026-06-16
"Tuesday, 16 June 2026",Match 20,Austria v Jordan,Group J,Levis Stadium Santa Clara,2026-06-16
"Wednesday, 17 June 2026",Match 21,Ghana v Panama,Group L,BMO Field Toronto,2026-06-17
"Wednesday, 17 June 2026",Match 22,England v Croatia,Group L,ATT Stadium Arlington,2026-06-17
"Wednesday, 17 June 2026",Match 23,Portugal v DR Congo,Group K,NRG Stadium Houston,2026-06-17
"Wednesday, 17 June 2026",Match 24,Uzbekistan v Colombia,Group K,Estadio Azteca Mexico City,2026-06-17
"Thursday, 18 June 2026",Match 25,Czech Republic v South Africa,Group A,Mercedes-Benz Stadium Atlanta,2026-06-18
"Thursday, 18 June 2026",Match 26,Switzerland v Bosnia and Herzegovina,Group B,SoFi Stadium Inglewood,2026-06-18
"Thursday, 18 June 2026",Match 27,Canada v Qatar,Group B,BC Place Vancouver,2026-06-18
"Thursday, 18 June 2026",Match 28,Mexico v South Korea,Group A,Estadio Akron Zapopan,2026-06-18
"Friday, 19 June 2026",Match 29,Brazil v Haiti,Group C,Lincoln Financial Field Philadelphia,2026-06-19
"Friday, 19 June 2026",Match 30,Scotland v Morocco,Group C,Gillette Stadium Foxborough,2026-06-19
"Friday, 19 June 2026",Match 31,Turkey v Paraguay,Group D,Levis Stadium Santa Clara,2026-06-19
"Friday, 19 June 2026",Match 32,USA v Australia,Group D,Lumen Field Seattle,2026-06-19
"Saturday, 20 June 2026",Match 33,Germany v Ivory Coast,Group E,BMO Field Toronto,2026-06-20
"Saturday, 20 June 2026",Match 34,Ecuador v Curacao,Group E,Arrowhead Stadium Kansas City,2026-06-20
"Saturday, 20 June 2026",Match 35,Netherlands v Sweden,Group F,NRG Stadium Houston,2026-06-20
"Saturday, 20 June 2026",Match 36,Tunisia v Japan,Group F,Estadio BBVA Guadalupe,2026-06-20
"Sunday, 21 June 2026",Match 37,Uruguay v Cape Verde,Group H,Hard Rock Stadium Miami Gardens,2026-06-21
"Sunday, 21 June 2026",Match 38,Spain v Saudi Arabia,Group H,Mercedes-Benz Stadium Atlanta,2026-06-21
"Sunday, 21 June 2026",Match 39,Belgium v Iran,Group G,SoFi Stadium Inglewood,2026-06-21
"Sunday, 21 June 2026",Match 40,New Zealand v Egypt,Group G,BC Place Vancouver,2026-06-21
"Monday, 22 June 2026",Match 41,Norway v Senegal,Group I,MetLife Stadium East Rutherford,2026-06-22
"Monday, 22 June 2026",Match 42,France v Iraq,Group I,Lincoln Financial Field Philadelphia,2026-06-22
"Monday, 22 June 2026",Match 43,Argentina v Austria,Group J,ATT Stadium Arlington,2026-06-22
"Monday, 22 June 2026",Match 44,Jordan v Algeria,Group J,Levis Stadium Santa Clara,2026-06-22
"Tuesday, 23 June 2026",Match 45,England v Ghana,Group L,Gillette Stadium Foxborough,2026-06-23
"Tuesday, 23 June 2026",Match 46,Panama v Croatia,Group L,BMO Field Toronto,2026-06-23
"Tuesday, 23 June 2026",Match 47,Portugal v Uzbekistan,Group K,NRG Stadium Houston,2026-06-23
"Tuesday, 23 June 2026",Match 48,Colombia v DR Congo,Group K,Estadio Akron Zapopan,2026-06-23
"Wednesday, 24 June 2026",Match 49,Scotland v Brazil,Group C,Hard Rock Stadium Miami Gardens,2026-06-24
"Wednesday, 24 June 2026",Match 50,Morocco v Haiti,Group C,Mercedes-Benz Stadium Atlanta,2026-06-24
"Wednesday, 24 June 2026",Match 51,Switzerland v Canada,Group B,BC Place Vancouver,2026-06-24
"Wednesday, 24 June 2026",Match 52,Bosnia and Herzegovina v Qatar,Group B,Lumen Field Seattle,2026-06-24
"Wednesday, 24 June 2026",Match 53,Czech Republic v Mexico,Group A,Estadio Azteca Mexico City,2026-06-24
"Wednesday, 24 June 2026",Match 54,South Africa v South Korea,Group A,Estadio BBVA Guadalupe,2026-06-24
"Thursday, 25 June 2026",Match 55,Curacao v Ivory Coast,Group E,Lincoln Financial Field Philadelphia,2026-06-25
"Thursday, 25 June 2026",Match 56,Ecuador v Germany,Group E,MetLife Stadium East Rutherford,2026-06-25
"Thursday, 25 June 2026",Match 57,Japan v Sweden,Group F,ATT Stadium Arlington,2026-06-25
"Thursday, 25 June 2026",Match 58,Tunisia v Netherlands,Group F,Arrowhead Stadium Kansas City,2026-06-25
"Thursday, 25 June 2026",Match 59,Turkey v USA,Group D,SoFi Stadium Inglewood,2026-06-25
"Thursday, 25 June 2026",Match 60,Paraguay v Australia,Group D,Levis Stadium Santa Clara,2026-06-25
"Friday, 26 June 2026",Match 61,Norway v France,Group I,Gillette Stadium Foxborough,2026-06-26
"Friday, 26 June 2026",Match 62,Senegal v Iraq,Group I,BMO Field Toronto,2026-06-26
"Friday, 26 June 2026",Match 63,Egypt v Iran,Group G,Lumen Field Seattle,2026-06-26
"Friday, 26 June 2026",Match 64,New Zealand v Belgium,Group G,BC Place Vancouver,2026-06-26
"Friday, 26 June 2026",Match 65,Cape Verde v Saudi Arabia,Group H,NRG Stadium Houston,2026-06-26
"Friday, 26 June 2026",Match 66,Uruguay v Spain,Group H,Estadio Akron Zapopan,2026-06-26
"Saturday, 27 June 2026",Match 67,Panama v England,Group L,MetLife Stadium East Rutherford,2026-06-27
"Saturday, 27 June 2026",Match 68,Croatia v Ghana,Group L,Lincoln Financial Field Philadelphia,2026-06-27
"Saturday, 27 June 2026",Match 69,Algeria v Austria,Group J,Arrowhead Stadium Kansas City,2026-06-27
"Saturday, 27 June 2026",Match 70,Jordan v Argentina,Group J,ATT Stadium Arlington,2026-06-27
"Saturday, 27 June 2026",Match 71,Colombia v Portugal,Group K,Hard Rock Stadium Miami Gardens,2026-06-27
"Saturday, 27 June 2026",Match 72,DR Congo v Uzbekistan,Group K,Mercedes-Benz Stadium Atlanta,2026-06-27
"Sunday, 28 June 2026",Match 73,Group A runners-up v Group B runners-up,,SoFi Stadium Inglewood,2026-06-28
"Monday, 29 June 2026",Match 74,Group E winners v Group A/B/C/D/F third place,,Gillette Stadium Foxborough,2026-06-29
"Monday, 29 June 2026",Match 75,Group F winners v Group C runners-up,,Estadio BBVA Guadalupe,2026-06-29
"Monday, 29 June 2026",Match 76,Group C winners v Group F runners-up,,NRG Stadium Houston,2026-06-29
"Tuesday, 30 June 2026",Match 77,Group I winners v Group C/D/F/G/H third place,,MetLife Stadium East Rutherford,2026-06-30
"Tuesday, 30 June 2026",Match 78,Group E runners-up v Group I runners-up,,ATT Stadium Arlington,2026-06-30
"Tuesday, 30 June 2026",Match 79,Group A winners v Group C/E/F/H/I third place,,Estadio Azteca Mexico City,2026-06-30
"Wednesday, 1 July 2026",Match 80,Group L winners v Group E/H/I/J/K third place,,Mercedes-Benz Stadium Atlanta,2026-07-01
"Wednesday, 1 July 2026",Match 81,Group D winners v Group B/E/F/I/J third place,,Levis Stadium Santa Clara,2026-07-01
"Wednesday, 1 July 2026",Match 82,Group G winners v Group A/E/H/I/J third place,,Lumen Field Seattle,2026-07-01
"Thursday, 2 July 2026",Match 83,Group K runners-up v Group L runners-up,,BMO Field Toronto,2026-07-02
"Thursday, 2 July 2026",Match 84,Group H winners v Group J runners-up,,SoFi Stadium Inglewood,2026-07-02
"Thursday, 2 July 2026",Match 85,Group B winners v Group E/F/G/I/J third place,,BC Place Vancouver,2026-07-02
"Friday, 3 July 2026",Match 86,Group J winners v Group H runners-up,,Hard Rock Stadium Miami Gardens,2026-07-03
"Friday, 3 July 2026",Match 87,Group K winners v Group D/E/I/J/L third place,,Arrowhead Stadium Kansas City,2026-07-03
"Friday, 3 July 2026",Match 88,Group D runners-up v Group G runners-up,,ATT Stadium Arlington,2026-07-03
"Saturday, 4 July 2026",Match 89,Winner match 74 v Winner match 77,,Lincoln Financial Field Philadelphia,2026-07-04
"Saturday, 4 July 2026",Match 90,Winner match 73 v Winner match 75,,NRG Stadium Houston,2026-07-04
"Sunday, 5 July 2026",Match 91,Winner match 76 v Winner match 78,,MetLife Stadium East Rutherford,2026-07-05
"Sunday, 5 July 2026",Match 92,Winner match 79 v Winner match 80,,Estadio Azteca Mexico City,2026-07-05
"Monday, 6 July 2026",Match 93,Winner match 83 v Winner match 84,,ATT Stadium Arlington,2026-07-06
"Monday, 6 July 2026",Match 94,Winner match 81 v Winner match 82,,Lumen Field Seattle,2026-07-06
"Tuesday, 7 July 2026",Match 95,Winner match 86 v Winner match 88,,Mercedes-Benz Stadium Atlanta,2026-07-07
"Tuesday, 7 July 2026",Match 96,Winner match 85 v Winner match 87,,BC Place Vancouver,2026-07-07
"Thursday, 9 July 2026",Match 97,Winner match 89 v Winner match 90,,Gillette Stadium Foxborough,2026-07-09
"Friday, 10 July 2026",Match 98,Winner match 93 v Winner match 94,,SoFi Stadium Inglewood,2026-07-10
"Saturday, 11 July 2026",Match 99,Winner match 91 v Winner match 92,,Hard Rock Stadium Miami Gardens,2026-07-11
"Saturday, 11 July 2026",Match 100,Winner match 95 v Winner match 96,,Arrowhead Stadium Kansas City,2026-07-11
"Tuesday, 14 July 2026",Match 101,Winner match 97 v Winner match 98,,ATT Stadium Arlington,2026-07-14
"Wednesday, 15 July 2026",Match 102,Winner match 99 v Winner match 100,,Mercedes-Benz Stadium Atlanta,2026-07-15
"Saturday, 18 July 2026",Match 103,Runner-up match 101 v Runner-up match 102,,Hard Rock Stadium Miami Gardens,2026-07-18
"Sunday, 19 July 2026",Match 104,Winner match 101 v Winner match 102,,MetLife Stadium East Rutherford,2026-07-19
